Name,Photo,Contact,Role,Institution,Institution Description,Festival Role,Attendance,Bio,Conversation Tip,Institution Link
WE GUIDE YOU,,,Tour contributor,AT,,Guided Tour – Layers of Time: City Tour meets Media Arts (DE); Guided Tour – Layers of Time: City Tour meets Media Arts (EN),Definitely,"Contributor to “Layers of Time: City Tour meets Media Arts (EN)”: Discover how Linz's historic buildings became today's festival venues. Each stop begins with the site's history and architectural significance before we introduce the artworks, creating a dialogue between past, present and future.",Ask about their work in Guided Tour and possible exchange or residency ideas with hosq in Armenia.,
Wei-Yin Lo,,,Musician / Performer,TW,,Concert – MEDIUM SONORUM – Closing Concert,Definitely,"Contributor to “MEDIUM SONORUM – Closing Concert”: MEDIUM SONORUM presents a selection of recent multichannel works. Performed through the impressive Sonic Lab’s 20.4 loudspeaker system, the concert explores contemporary approaches to spatial composition in relation to the theme Audible Futures, Silent Decisions.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Weibin Duan,,,Conference contributor,CN,,Conference – Academic Session: Art Track #3 Control,Definitely,"Contributor to “Academic Session: Art Track #3 Control”: The Academic Session #3 Art Track: Control presents five Art Papers from the Expanded Conference Open Call that examine how control is negotiated between humans, technologies, materials and environments in expanded animation and interactive art.",Invite a knowledge exchange: workshops/talks connecting their practice with hosq’s art–science community.,
Wendi Yan,,,Filmmaker / Screening contributor,CN,,Screening – Ghost Stories: Negotiating Between Worlds,Definitely,Contributor to “Ghost Stories: Negotiating Between Worlds”: The five works in this program tell unusual ghost stories in which the boundaries between worlds become permeable and negotiation remains open.,Ask about their work in Screening and possible exchange or residency ideas with hosq in Armenia.,
Werkstätte Ulrike Mair,,,Open Lab contributor,AT,,Open Lab – Earth Treasure,Probably,"Contributor to “Earth Treasure”: Earth Treasure is a cooperative dice game in which players collaboratively create and shape a landscape. The game mechanics are based on a classic dice game and are characterized by a simple, easily understandable set of rules.",Ask about their work in Open Lab and possible exchange or residency ideas with hosq in Armenia.,
Werner Friepesz,,,Artist / Contributor,AT,,Experience – New Perspectives on Salzburg,Definitely,"Contributor to “New Perspectives on Salzburg”: How can digital technologies open new ways of seeing, understanding, negotiating and collectively experiencing cultural heritage? Salzburg Museum and Ars Electronica Futurelab present a Deep Space 8K journey linking Sattler’s historic panorama of Salzburg with a contemporary 360…",Ask about their work in Experience and possible exchange or residency ideas with hosq in Armenia.,
Wes Taylor,,,Performer,US,,Performance – A Quarter Century of Processing,Definitely,"Contributor to “A Quarter Century of Processing”: Processing turns 25 this year. Join us to celebrate the past, present and future of Processing—as software, design philosophy, pedagogical approach and global creative community.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
WHEREISCHAPPIE,,,Performer,TW,,Project – Sound Campus (WED 9.9.); Performance – Gao Huang,Definitely,"Contributor to “Sound Campus (WED 9.9.)”: Sound Campus – Listening Underground explores the movement beneath the surface. It considers the ongoing, divergent processes which are felt but not always seen. To submerge opens up new modes of attention and multi-sensory listening that change our relation with the surrounding.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Will Lopes,,,Artist / Contributor,BR,,Project – Sympoiesis,Probably,Contributor to “Sympoiesis”: Sympoiesis is a practice-based media art project exploring the body as a perceptual instrument.,Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Winnie Ying Hie Ling,,,Exhibiting artist,MY,,Exhibition – The Sleeping Archive,Probably,"Contributor to “The Sleeping Archive”: Transforming threads into code, this project reinterprets Sarawak indigenous weaving through pixels, algorithms and interaction. It connects cultural heritage with contemporary technology, creating a living digital space where tradition, creativity and identity can evolve and en…",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
Winslow Porter,,https://www.instagram.com/winslowturnerporteriii/,Filmmaker / Screening contributor,US United States,,Screening – Onassis ONX Showcase,Definitely,"Winslow Porter is an award-winning director, producer and creative technologist specializing in virtual/augmented reality as well as large-scale immersive installations. His work focuses on embodying the unique timescales of non-human organisms through various emerging technologies. His impact-based virtual reality projects Tree, Forager and Giant are known for pushing the boundaries of immersion through custom multisensory elements like scent, wind, heat, haptics and installation design.",Ask about their work in Screening and possible exchange or residency ideas with hosq in Armenia.,
Wolfgang Dorninger,,,Performer,AT,,Performance – The Danube Continually Shapes the Future,Definitely,"Contributor to “The Danube Continually Shapes the Future”: Wolfgang Dorninger’s music creates a continuous flow, much like the Danube. Drones, soundscapes, neoclassical music and songs blend together in a timeless space, but certain sounds run throughout the entire piece, connecting all the different musical segments.",Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Wolfgang “Fadi” Dorninger,,,Musician / Performer,AT,,Concert – SoundPark; Exhibition – dieKUNSTSAMMLUNG | AUSGEZEICHNET,Definitely,Contributor to “dieKUNSTSAMMLUNG | AUSGEZEICHNET”: The new exhibition AUSGEZEICHNET (DISTINGUISHED) at the KUNSTSAMMLUNG puts the spotlight on the recipients of the 2025 Culture Prizes and brings together works from the four artistic positions honored with the Talent Promotion Awards for Visual Art.,Discuss bringing a performance/concert collaboration or artist talk to Armenia via hosq.,
Wolfram Starczewski,,https://www.instagram.com/tourguidewolf/,Tour contributor,AT Austria,,Guided Tour – Layers of Time: City Tour meets Media Arts (DE); Guided Tour – Layers of Time: City Tour meets Media Arts (EN),Definitely,"Wolfram Starczewski was born in Germany, grew up on the North Sea coast and has lived in Linz for over 20 years. After studying languages in Italy and directing in Hamburg, he worked at theaters in both Germany and abroad, taught at the University of Passau and became a licensed tour guide. For the past 15 years, he has created tours that connect architecture, history and culture, designed to show Linz from unexpected perspectives.",Ask about their work in Guided Tour and possible exchange or residency ideas with hosq in Armenia.,https://linzerleben.at
Woonji Im,,,Artist / Contributor,KR,,Project – Fish (skin) & Chips,Probably,"Contributor to “Fish (skin) & Chips”: As global fisheries expand, fish skin accumulates as a by-product but is mostly discarded. This project shifts attention from fish flesh to skin through material experiments and archiving.",Explore exhibiting or co-developing a related project with hosq’s lab and residency programs.,
